Designator,Mid X,Mid Y,Rotation,Layer
_836,435.93665,-153.85165,0.0,top
_835,384.792,-405.56565,180.0,top
_834,293.606,-226.441,180.0,top
_833,320.529975,-162.9233,0.0,top
_832,230.341675,-318.44365,180.0,top
_831,384.538,-432.87065,180.0,top
_830,160.800025,-318.5337,180.0,top
_829,446.677,-79.248,0.0,top
_828,421.69435,-341.95635,180.0,top
_827,271.888975,-154.0333,0.0,top
_826,132.007325,-282.829,0.0,top
_825,248.375675,-318.31665,180.0,top
_824,292.952675,-341.757,180.0,top
_823,83.38465,-146.304,0.0,top
_822,132.007325,-272.669,0.0,top
_821,423.49065,-176.96565,0.0,top
_820,244.602,-224.917,0.0,top
_819,272.886675,-335.026,180.0,top
_818,146.340325,-153.924,0.0,top
_817,44.432,-409.829,180.0,top
_816,132.007325,-244.856,0.0,top
_815,209.695325,-433.9413,180.0,top
_814,160.727675,-433.14235,180.0,top
_813,69.90435,-337.00335,180.0,top
_812,90.75065,-176.784,0.0,top
_811,230.378,-224.917,0.0,top
_810,363.709975,-153.85165,0.0,top
_809,109.401325,-245.745,0.0,top
_808,365.70535,-341.884,180.0,top
_807,122.881675,-409.702,180.0,top
_806,258.227325,-180.66635,0.0,top
_805,102.144325,-245.618,0.0,top
_804,34.526,-432.943,180.0,top
_803,174.915325,-153.543,0.0,top
_802,334.880975,-181.53765,0.0,top
_801,220.218,-224.917,0.0,top
_800,209.332325,-181.42835,0.0,top
_799,349.359,-410.13765,180.0,top
_798,174.897,-245.745,0.0,top
_797,342.446325,-85.598,0.0,top
_796,242.043675,-341.68465,180.0,top
_795,107.387675,-409.829,180.0,top
_794,358.44835,-341.757,180.0,top
_793,258.227325,-152.85335,0.0,top
_792,410.065,-410.337,180.0,top
_791,121.212325,-245.745,0.0,top
_790,19.957,-73.914,0.0,top
_789,247.305325,-176.85635,0.0,top
_788,377.172,-410.01065,180.0,top
_787,320.475325,-71.42865,0.0,top
_786,209.531675,-55.0087,0.0,top
_785,114.009675,-433.07,180.0,top
_784,296.182325,-410.13765,180.0,top
_783,447.85635,-337.51135,180.0,top
_782,426.611,-62.357,0.0,top
_781,360.480325,-85.471,0.0,top
_780,361.169975,-153.85165,0.0,top
_779,147.392675,-396.05835,180.0,top
_778,349.30435,-318.643,180.0,top
_777,250.915675,-318.31665,180.0,top
_776,383.775975,-160.58265,0.0,top
_775,414.274,-62.23,0.0,top
_774,397.909,-78.359,0.0,top
_773,321.709325,-417.24965,180.0,top
_772,272.941325,-413.94765,180.0,top
_771,446.677,-71.628,0.0,top
_770,320.529975,-170.5433,0.0,top
_769,69.959,-420.878,180.0,top
_768,69.959,-416.941,180.0,top
_767,383.775975,-152.96265,0.0,top
_766,38.93465,-176.45765,0.0,top
_765,239.522,-224.917,0.0,top
_764,41.20235,-341.44835,180.0,top
_763,258.463325,-428.6073,180.0,top
_762,116.477025,-318.33435,180.0,top
_761,383.775975,-173.15565,0.0,top
_760,58.42,-208.407,270.0,top
_759,184.186325,-153.543,0.0,top
_758,452.12,-210.312,0.0,top
_757,184.004675,-85.16235,0.0,top
_756,384.501675,-256.794,180.0,top
_755,69.959,-409.321,180.0,top
_754,365.742,-410.13765,180.0,top
_753,21.13635,-334.71735,180.0,top
_752,21.13635,-311.98435,180.0,top
_751,335.897,-426.52065,180.0,top
_750,232.881675,-318.44365,180.0,top
_749,283.7,-249.555,180.0,top
_748,281.740325,-85.39865,0.0,top
_747,146.068,-281.051,0.0,top
_746,346.819,-410.13765,180.0,top
_745,346.655675,-249.555,180.0,top
_744,188.667675,-409.90135,180.0,top
_743,19.88465,-181.02965,0.0,top
_742,177.201025,-341.7747,180.0,top
_741,398.036,-55.118,0.0,top
_740,108.78465,-176.657,0.0,top
_739,335.860675,-242.824,180.0,top
_738,170.579025,-318.5337,180.0,top
_737,414.32865,-153.72465,0.0,top
_736,196.287675,-405.45635,180.0,top
